old version;new version
HOM03D001581;3;2
HOM03D014884;3;2
HOM03D000317;5;2
HOM03D001541;2;1
HOM03D004307;5;4
HOM03D017024;2;1
HOM03D000809;2;1
HOM03D002791;6;5
HOM03D001224;5;3
HOM03D000832;3;2
HOM03D000769;3;2
HOM03D000748;2;1
HOM03D017102;3;2
HOM03D001773;4;3
HOM03D000938;3;2
HOM03D001154;2;1
HOM03D000851;3;2
HOM03D000861;4;3
HOM03D000831;5;3
HOM03D001852;3;2
HOM03D000705;4;2
HOM03D001118;3;2
HOM03D006305;2;1
HOM03D000978;5;4
HOM03D001620;3;2
HOM03D002023;3;2
HOM03D001528;3;2
HOM03D004269;2;1
HOM03D000941;4;3
HOM03D002466;2;1
HOM03D001583;2;1
HOM03D001645;2;1
HOM03D001713;4;3
HOM03D000495;8;4
HOM03D001997;2;1
HOM03D006885;2;1
HOM03D001092;3;2
HOM03D002574;2;1
HOM03D000946;3;2
HOM03D001461;2;1
HOM03D001500;3;2
HOM03D002257;4;3
HOM03D000772;4;3
HOM03D000572;3;2
HOM03D003228;2;1
HOM03D002987;2;1
HOM03D001789;4;3
HOM03D003593;2;1
HOM03D009341;4;3
HOM03D000452;4;2
HOM03D009770;5;4
HOM03D001195;4;2
HOM03D001872;3;2
HOM03D003853;2;1
HOM03D000929;5;4
HOM03D000448;6;4
HOM03D001432;7;6
HOM03D002790;4;3
HOM03D004797;2;1
HOM03D000918;4;3
HOM03D001411;6;5
HOM03D001235;2;1
HOM03D001827;2;1
HOM03D008134;6;5
HOM03D004164;2;1
HOM03D000662;6;5
HOM03D000887;2;1
HOM03D002407;2;1
HOM03D000348;4;3
HOM03D001274;2;1
HOM03D002785;4;3
HOM03D000577;6;4
HOM03D003313;2;1
HOM03D002725;2;1
HOM03D002261;3;2
HOM03D001612;3;2
HOM03D000592;3;2
HOM03D000625;3;2
HOM03D002642;3;2
HOM03D001208;4;2
HOM03D002038;2;1
HOM03D001325;4;3
HOM03D000563;6;3
HOM03D005213;2;1
HOM03D000982;4;2
HOM03D000956;3;2
HOM03D001073;4;3
HOM03D001950;3;2
HOM03D003090;2;1
HOM03D001196;5;3
HOM03D001999;3;2
HOM03D002281;2;1
HOM03D002819;2;1
HOM03D002513;2;1
HOM03D001551;3;2
HOM03D002196;2;1
HOM03D000610;3;2
HOM03D001010;6;5
HOM03D001275;2;1
HOM03D000425;5;4
HOM03D000612;4;3
HOM03D000723;4;3
HOM03D001169;2;1
HOM03D001832;3;2
HOM03D000800;3;2
HOM03D002794;2;1
HOM03D011078;3;2
HOM03D002877;3;2
HOM03D002971;3;4
HOM03D001033;6;4
HOM03D002009;3;2
HOM03D003184;2;1
HOM03D002727;2;1
HOM03D000460;4;3
HOM03D003114;3;2
HOM03D001527;5;4
HOM03D008249;5;3
HOM03D000654;5;4
HOM03D001031;3;2
HOM03D000745;4;3
HOM03D001217;5;3
HOM03D000404;4;3
HOM03D004542;3;2
HOM03D000787;4;2
HOM03D001253;3;2
HOM03D015862;3;2
HOM03D000473;4;2
HOM03D000418;7;5
HOM03D002691;2;1
HOM03D002469;2;1
HOM03D000989;3;4
HOM03D002348;3;2
HOM03D007373;2;1
HOM03D001070;2;1
HOM03D002144;2;1
HOM03D004467;2;1
HOM03D002349;2;1
HOM03D001220;3;2
HOM03D001232;4;3
HOM03D001090;4;3
HOM03D000304;5;3
HOM03D000653;3;2
HOM03D004658;2;1
HOM03D001806;3;2
HOM03D000957;3;2
HOM03D000696;4;3
HOM03D000315;6;4
HOM03D000868;4;2
HOM03D010528;3;2
HOM03D004050;2;1
HOM03D001477;2;1
HOM03D006815;4;3
HOM03D001327;3;2
HOM03D011275;4;3
HOM03D001677;3;2
HOM03D001760;3;2
HOM03D002415;5;4
HOM03D010228;2;1
HOM03D008229;5;4
HOM03D000714;5;4
HOM03D001909;2;1
HOM03D000919;5;3
HOM03D000803;3;2
HOM03D001383;3;2
HOM03D000493;4;2
HOM03D001284;2;1
HOM03D001706;3;4
HOM03D002901;2;1
HOM03D008211;5;4
HOM03D003052;5;4
HOM03D000786;4;3
HOM03D001307;4;3
HOM03D001060;4;3
HOM03D020918;2;1
HOM03D000812;4;3
HOM03D001435;2;1
HOM03D000888;5;3
HOM03D000352;5;4
HOM03D002624;2;1
HOM03D024921;2;1
HOM03D002373;3;2
HOM03D001530;4;3
HOM03D001715;4;3
HOM03D001577;4;3
HOM03D003680;2;1
HOM03D000963;4;3
HOM03D001843;2;1
HOM03D000701;5;3
HOM03D000635;7;6
HOM03D017185;3;2
HOM03D009534;6;5
HOM03D004294;5;6
HOM03D003846;4;3
HOM03D005232;2;1
HOM03D002152;2;1
HOM03D000340;3;2
HOM03D005312;3;2
HOM03D004281;4;3
HOM03D000788;4;2
HOM03D002775;5;4
HOM03D002869;2;1
HOM03D001140;4;3
HOM03D001730;5;3
HOM03D001212;4;3
HOM03D002125;2;1
HOM03D002239;5;4
HOM03D002066;2;1
HOM03D001942;2;1
HOM03D003244;2;1
HOM03D001986;3;2
HOM03D000775;4;3
HOM03D002049;2;1
HOM03D001297;2;1
HOM03D001292;3;2
HOM03D001035;3;2
HOM03D000953;4;3
HOM03D010192;5;4
HOM03D001159;3;2
HOM03D002000;3;2
HOM03D003336;2;1
HOM03D002164;3;2
HOM03D000856;2;1
HOM03D004564;2;1
HOM03D002012;3;2
HOM03D001791;5;3
HOM03D001050;3;2
HOM03D001137;2;1
HOM03D002389;2;1
HOM03D001900;3;2
HOM03D002425;2;1
HOM03D000451;5;4
HOM03D002915;3;2
HOM03D000313;5;4
HOM03D000722;3;2
HOM03D001101;3;2
HOM03D000434;8;6
HOM03D003837;5;4
HOM03D010187;2;1
HOM03D000472;3;2
HOM03D002899;3;2
HOM03D001443;3;2
HOM03D003132;2;1
HOM03D000715;2;1
HOM03D001716;3;2
HOM03D014028;3;2
HOM03D001726;3;2
HOM03D001267;4;3
HOM03D007246;3;2
HOM03D001610;2;1
HOM03D012512;3;4
HOM03D013139;2;1
HOM03D000580;4;3
HOM03D005187;2;1
HOM03D000886;3;2
HOM03D000351;6;5
HOM03D002443;2;1
HOM03D007889;5;4
HOM03D004077;2;1
HOM03D001039;5;3
HOM03D002698;4;3
HOM03D002230;2;1
HOM03D002482;3;2
HOM03D003241;2;1
HOM03D001128;4;3
HOM03D001221;3;2
HOM03D003445;4;3
HOM03D002245;3;2
HOM03D002341;3;2
HOM03D001902;3;1
HOM03D000806;3;2
HOM03D002350;1;2
HOM03D001460;3;2
HOM03D000898;4;3
HOM03D002269;3;2
HOM03D000853;3;2
HOM03D001534;2;1
HOM03D000611;3;2
HOM03D000677;5;4
HOM03D002561;2;1
HOM03D000640;3;2
HOM03D001931;2;1
HOM03D001690;5;3
